gene,F517_21h,F517_29h,F517_33h,F517_37h,F517_41h,F517_45h,F517_49h,F517_53h,F517_57h
SCO2100,7.97218205586024,7.95096084134548,7.75859337381558,7.34478905269617,7.34725225124723,7.15987133677839,7.33191218345998,7.3037807481771,7.46579311888873
SCO2101,9.67615298473029,9.38334429370964,9.6122541923889,9.28912232550591,9.2409238049632,9.15650448567999,9.11171529862374,9.05754052805936,9.03143318258835
SCO2102,10.6710495683796,10.1677665808149,10.0896711610461,10.6588065312407,10.4132165448111,10.3420746679991,10.2201767635956,10.3825039470842,10.4890674321298
SCO2103,11.2612461051927,10.6985117544159,10.587152431812,11.0850666741076,10.6899979714194,10.7899863972229,10.6647435562485,10.8010795966311,10.8503604994023
SCO2104,8.14974711950468,8.02236781302845,6.88874324889826,8.41033356605748,8.11778737810714,7.74371242660679,7.91155843665136,7.8399036159258,7.86899398784999
SCO2105,10.0412028191833,9.70332684145981,9.44501484586842,9.70860494142008,9.38717965704754,9.26209484537018,9.36218736935269,9.22708106713008,9.26912667914942
SCO2106,8.67340723477527,9.09393101815377,8.44063850248273,8.45441354387067,8.11432074838736,8.2941101507476,8.32092587529799,8.33439744684958,8.29001884693262
SCO2107,10.0146404510038,9.08761016778005,9.46034212358446,9.93385455100931,9.25764974612278,8.70467219095932,8.41503749927884,8.40986232808468,8.49807353423022
SCO2108,6.60650803100242,6.18762700317577,4.57826784814715,6.44386446303027,5.65979773364375,5.80161855250846,5.05889368905357,4.79585928321977,4.67556504950206
SCO2109,9.74604771644444,9.03769946678445,9.38442402062113,9.41256984680521,8.67262177400133,8.40419543356744,8.26886685113595,8.2336196767597,8.22614455619756
SCO2110,11.5371644629728,11.4345703148237,11.6460586252104,11.7105673037257,11.5736997782175,11.6105122399989,11.5146044809762,11.4134516358681,11.3783249644349
SCO2111,8.74576768117309,8.70043971814109,8.37117161390721,8.07503339170882,8.03647891253153,8.22828426002454,8.27870756628824,8.23787384877966,8.30504838294883
SCO2112,10.8317030992143,10.7046721909593,10.41386295306,10.0373944250155,10.0472754159252,10.0573148777827,10.1075077071477,9.96850680483454,10.0557343368489
SCO2113,10.2640515729737,11.7093231885221,11.0585930962739,12.8545221225983,11.363952208591,11.3581017074408,10.8556471660273,10.1836353814732,9.85356947704043
SCO2114,7.56985560833095,6.83359291066629,5.30580842952409,7.02852004001005,6.91886323727459,7.06129617926887,7.1372758076985,6.11316335158169,6.8116422804607
SCO2115,12.1332849475025,11.7660227078808,11.5414731085493,11.116488367928,11.0964955494891,10.9308194558451,10.9515680447555,11.1178595110559,11.0009780585848
SCO2116,11.8167170252613,11.19345691334,11.6839205910366,9.46692615518422,10.3641346550081,10.2250735130594,10.1019756709492,9.87070719911994,9.63279329454087
SCO2117,8.93270688741265,8.76560841150843,9.42019417266486,8.480678020773,8.2089117117683,7.7630278907524,7.65900482620917,7.87583465994037,7.813068573252
SCO2118,8.16964667694239,7.75859337381558,8.13670636027019,8.20348395878638,8.10212152294763,8.04984854945056,8.12297175396686,8.04984854945056,8.10328780841202
SCO2119,8.60342028984896,8.28514530584565,8.3492197865551,8.71919865485192,8.61020461818299,8.33265821211104,8.40419543356744,8.40986232808468,8.36389138799105
SCO2120,8.49807353423022,7.97409586782458,7.41878963413995,8.62469393268783,8.65423820830185,8.52029127897973,8.42066204847272,8.39565313534202,8.34872815423108
SCO2121,10.1503819688178,9.89397560868658,9.88366154219686,9.6282429997689,9.47212669148566,9.52682523507985,9.5018371849023,9.5018371849023,9.34651373316563
SCO2122,10.721858701776,10.5555477716471,10.3799799662797,9.81946949840242,9.84365938536996,9.94544383637791,9.82972273508606,9.7235661456426,9.60238957247934
SCO2123,9.59328736537209,9.59121064838633,9.43936918462842,9.04074634234331,9.15720656124053,9.30225811474723,9.29129862617106,9.24343847976866,9.19147053172358
